"player_id" "gsis_name" "first_name" "last_name" "team" "position" "birthdate" "college" "X"
"1" "00-0034339" "" "Trey" "Quinn" "WAS" "WR" "" "Southern Methodist" ""
"2" "00-0035406" "" "Lil Jordan" "Humphrey" "NO" "WR" "" "Texas" ""
"3" "00-0033562" "" "Ryan" "Switzer" "PIT" "WR" "" "North Carolina" ""
"4" "00-0033382" "" "Austin" "Carr" "NO" "WR" "" "Northwestern" ""
"5" "00-0035208" "" "Olamide" "Zaccheaus" "ATL" "WR" "" "Virginia" ""
"6" "00-0034279" "" "Equanimious" "St. Brown" "GB" "WR" "" "Notre Dame" ""
"7" "00-0034309" "" "Chad" "Beebe" "MIN" "WR" "" "Northern Illinois" ""
"8" "00-0034272" "" "Marquez" "Valdes-Scantling" "GB" "WR" "" "South Florida" ""
"9" "00-0035527" "" "Andy" "Isabella" "ARI" "WR" "" "Massachusetts" ""
"10" "00-0034960" "" "Jakobi" "Meyers" "NE" "WR" "" "North Carolina State" ""
"11" "00-0034317" "" "Keith" "Kirkwood" "CAR" "WR" "" "Temple" ""
"12" "00-0033733" "" "Greg" "Ward" "PHI" "WR" "" "Houston" ""
"13" "00-0033375" "" "Tim" "Patrick" "DEN" "WR" "" "Utah" ""
"14" "00-0033555" "" "Mack" "Hollins" "MIA" "WR" "" "North Carolina" ""
"15" "00-0033292" "" "Trent" "Taylor" "SF" "WR" "" "Louisiana Tech" ""
"16" "00-0034273" "" "Damion" "Ratley" "CLE" "WR" "" "Texas A&M" ""
"17" "00-0034653" "" "Deontay" "Burnett" "PHI" "WR" "" "USC" ""
"18" "00-0033460" "" "John" "Ross III" "CIN" "WR" "" "Washington" ""
"19" "00-0035703" "" "Myles" "Boykin" "BAL" "WR" "" "Notre Dame" ""
"20" "00-0034411" "" "Russell" "Gage" "ATL" "WR" "" "LSU" ""
"21" "00-0034676" "" "James" "Washington" "PIT" "WR" "" "Oklahoma State" ""
"22" "00-0033943" "" "Josh" "Reynolds" "LA" "WR" "" "Texas A&M" ""
"23" "00-0034860" "" "Dante" "Pettis" "SF" "WR" "" "Washington" ""
"24" "00-0034777" "" "D.J." "Chark" "JAX" "WR" "" "LSU" ""
"25" "00-0033251" "" "Zach" "Pascal" "IND" "WR" "" "Old Dominion" ""
"26" "00-0035640" "" "D.K." "Metcalf" "SEA" "WR" "" "Mississippi" ""
"27" "00-0035216" "" "Diontae" "Johnson" "PIT" "WR" "" "Toledo" ""
"28" "00-0035662" "" "Marquise" "Brown" "BAL" "WR" "" "Oklahoma" ""
"29" "00-0034775" "" "Christian" "Kirk" "ARI" "WR" "" "Texas A&M" ""
"30" "00-0034983" "" "Hunter" "Renfrow" "OAK" "WR" "" "Clemson" ""
"31" "00-0034510" "" "Reuben" "Foster" "NYG" "WR" "" "LSU" ""
"32" "00-0034521" "" "Allen" "Lazard" "GB" "WR" "" "Iowa State" ""
"33" "00-0033839" "" "Dede" "Westbrook" "JAX" "WR" "" "Oklahoma" ""
"34" "00-0035535" "" "Darius" "Slayton" "NYG" "WR" "" "Auburn" ""
"35" "00-0033681" "" "Keelan" "Cole" "JAX" "WR" "" "Kentucky Wesleyan" ""
"36" "00-0035140" "" "Mecole" "Hardman" "KC" "WR" "" "Georgia" ""
"37" "00-0034353" "" "Anthony" "Miller" "CHI" "WR" "" "Memphis" ""
"38" "00-0035719" "" "Deebo" "Samuel" "SF" "WR" "" "South Carolina" ""
"39" "00-0033307" "" "Kendrick" "Bourne" "SF" "WR" "" "Eastern Washington" ""
"40" "00-0034765" "" "Tre'Quan" "Smith" "NO" "WR" "" "Central Florida" ""
"41" "00-0033871" "" "Corey" "Davis" "TEN" "WR" "" "Western Michigan" ""
"42" "00-0035659" "" "Terry" "McLaurin" "WAS" "WR" "" "Ohio State" ""
"43" "00-0035676" "" "A.J." "Brown" "TEN" "WR" "" "Mississippi" ""
"44" "00-0034764" "" "Michael" "Gallup" "DAL" "WR" "" "Colorado State" ""
"45" "00-0034827" "" "D.J." "Moore" "CAR" "WR" "" "Maryland" ""
"46" "00-0033536" "" "Mike" "Williams" "LAC" "WR" "" "Clemson" ""
"47" "00-0034348" "" "Courtland" "Sutton" "DEN" "WR" "" "Southern Methodist" ""
"48" "00-0034753" "" "Mark" "Andrews" "BAL" "TE" "" "Oklahoma" ""
"49" "00-0034837" "" "Calvin" "Ridley" "ATL" "WR" "" "Alabama" ""
"50" "00-0033857" "" "Juju" "Smith-Schuster" "PIT" "WR" "" "USC" ""
"51" "00-0033932" "" "Kenny" "Golladay" "DET" "WR" "" "Northern Illinois" ""
"52" "00-0033288" "" "George" "Kittle" "SF" "TE" "" "Iowa" ""
"53" "00-0033921" "" "Chris" "Godwin" "TB" "WR" "" "Penn State" ""
"54" "00-0033908" "" "Cooper" "Kupp" "LA" "WR" "" "Eastern Washington" ""
"55" "00-0034975" "" "Justice" "Hill" "BAL" "RB" "" "Oklahoma State" ""
"56" "00-0034400" "" "Jordan" "Wilkins" "IND" "RB" "" "Mississippi" ""
"57" "00-0033936" "" "C.J." "Beathard" "SF" "QB" "" "Iowa" ""
"58" "00-0033282" "" "Curtis" "Samuel" "CAR" "WR" "" "Ohio State" ""
"59" "00-0035250" "" "Devin" "Singletary" "BUF" "RB" "" "Florida Atlantic" ""
"60" "00-0034750" "" "Rashaad" "Penny" "SEA" "RB" "" "San Diego State" ""
"61" "00-0033950" "" "Wayne" "Gallman" "NYG" "RB" "" "Clemson" ""
"62" "00-0035243" "" "Miles" "Sanders" "PHI" "RB" "" "Penn State" ""
"63" "00-0033295" "" "Elijah" "McGuire" "KC" "RB" "" "Louisiana-Lafayette" ""
"64" "00-0033526" "" "Samaje" "Perine" "CIN" "RB" "" "Oklahoma" ""
"65" "00-0034816" "" "Ronald" "Jones II" "TB" "RB" "" "USC" ""
"66" "00-0034349" "" "Kerryon" "Johnson" "DET" "RB" "" "Auburn" ""
"67" "00-0035700" "" "Josh" "Jacobs" "OAK" "RB" "" "Alabama" ""
"68" "00-0035685" "" "David" "Montgomery" "CHI" "RB" "" "Iowa State" ""
"69" "00-0033556" "" "Tarik" "Cohen" "CHI" "RB" "" "North Carolina A&T" ""
"70" "00-0034838" "" "Royce" "Freeman" "DEN" "RB" "" "Oregon" ""
"71" "00-0034184" "" "Gus" "Edwards" "BAL" "RB" "" "Rutgers" ""
"72" "00-0033699" "" "Austin" "Ekeler" "LAC" "RB" "" "Western Colorado State" ""
"73" "00-0033553" "" "James" "Conner" "PIT" "RB" "" "Pittsburgh" ""
"74" "00-0033948" "" "Jonathan" "Williams" "BUF" "RB" "" "Arkansas" ""
"75" "00-0033308" "" "Matt" "Breida" "MIA" "RB" "" "Georgia Southern" ""
"76" "00-0034109" "" "Phillip" "Lindsay" "DEN" "RB" "" "Colorado" ""
"77" "00-0033293" "" "Aaron" "Jones" "GB" "RB" "" "Texas-El Paso" ""
"78" "00-0034845" "" "Sony" "Michel" "NE" "RB" "" "Georgia" ""
"79" "00-0033893" "" "Dalvin" "Cook" "MIN" "RB" "" "Florida State" ""
"80" "00-0034844" "" "Saquon" "Barkley" "NYG" "RB" "" "Penn State" ""
"81" "00-0033906" "" "Alvin" "Kamara" "NO" "RB" "" "Tennessee" ""
"82" "00-0034791" "" "Nick" "Chubb" "CLE" "RB" "" "Georgia" ""
"83" "00-0033923" "" "Kareem" "Hunt" "KC" "RB" "" "Toledo" ""
"84" "00-0033951" "" "Marlon" "Mack" "IND" "RB" "" "South Florida" ""
"85" "00-0033594" "" "Chris" "Carson" "SEA" "RB" "" "Oklahoma State" ""
"86" "00-0033280" "" "Christian" "McCaffrey" "CAR" "RB" "" "Stanford" ""
"87" "00-0033856" "" "Leonard" "Fournette" "JAX" "RB" "" "LSU" ""
"88" "00-0033897" "" "Joe" "Mixon" "CIN" "RB" "" "Oklahoma" ""
"89" "00-0034869" "" "Sam" "Darnold" "NYJ" "QB" "" "USC" ""
"90" "00-0035251" "" "Will" "Grier" "CAR" "QB" "" "West Virginia" ""
"91" "00-0035577" "" "Devlin" "Hodges" "PIT" "QB" "" "Samford" ""
"92" "00-0034771" "" "Mason" "Rudolph" "PIT" "QB" "" "Oklahoma State" ""
"93" "00-0033869" "" "Mitch" "Trubisky" "CHI" "QB" "" "North Carolina" ""
"94" "00-0035264" "" "Jarrett" "Stidham" "NE" "QB" "" "Auburn" ""
"95" "00-0034577" "" "Kyle" "Allen" "CAR" "QB" "" "Texas A&M" ""
"96" "00-0034855" "" "Baker" "Mayfield" "CLE" "QB" "" "Oklahoma" ""
"97" "00-0033319" "" "Nick" "Mullens" "SF" "QB" "" "Southern Mississippi" ""
"98" "00-0035289" "" "Gardner" "Minshew II" "JAX" "QB" "" "Washington State" ""
"99" "00-0033400" "" "Gardner" "Minshew" "JAX" "QB" "" "Washington State" ""
"100" "00-0035228" "" "Kyler" "Murray" "ARI" "QB" "" "Oklahoma" ""
"101" "00-0034857" "Jos.Allen" "Josh" "Allen" "BUF" "QB" "" "Wyoming" ""
"102" "00-0035704" "" "Drew" "Lock" "DEN" "QB" "" "Missouri" ""
"103" "00-0033106" "" "Jared" "Goff" "LA" "QB" "" "California" ""
"104" "00-0033537" "" "Deshaun" "Watson" "HOU" "QB" "" "Clemson" ""
"105" "00-0031345" "" "Jimmy" "Garoppolo" "SF" "QB" "" "Eastern Illinois" ""
"106" "00-0033873" "" "Patrick" "Mahomes" "KC" "QB" "" "Texas Tech" ""
"107" "00-0034796" "" "Lamar" "Jackson" "BAL" "QB" "" "Louisville" ""
"108" "00-0029808" "" "Quincy" "McDuffie" "UNK" "WR" "9/24/90" "Central Florida" ""
"109" "00-0030261" "" "Marcus" "Davis" "UNK" "WR" "12/21/89" "Virginia Tech" ""
"110" "00-0029816" "" "Tyrone" "Goard" "UNK" "WR" "4/30/90" "Eastern Kentucky" ""
"111" "00-0031405" "D.Bronson" "Demitrius" "Bronson" "UNK" "UNK" "3/6/90" "Eastern Washington" ""
"112" "00-0031404" "A.Phillips" "Adrian" "Phillips" "SD" "CB" "3/28/92" "Texas" ""
"113" "00-0030191" "S.Benton" "" "" "UNK" "UNK" "" "" ""
"114" "00-0031407" "B.Bortles" "Blake" "Bortles" "UNK" "UNK" "4/28/92" "Central Florida" ""
"115" "00-0032211" "" "Tyler" "Lockett" "SEA" "WR" "9/28/92" "Kansas State" ""
"116" "00-0032212" "" "Dexter" "McDonald" "OAK" "CB" "11/30/91" "Kansas" ""
"117" "00-0032215" "" "Damien" "Wilson" "DAL" "ILB" "5/28/93" "Minnesota" ""
"118" "00-0032217" "" "Donovan" "Smith" "TB" "OT" "6/23/93" "Penn State" ""
"119" "00-0027447" "R.McCoy" "Rico" "McCoy" "UNK" "UNK" "11/6/87" "Tennessee" ""
"120" "00-0032817" "" "Mitch" "Mathews" "UNK" "UNK" "4/15/91" "Brigham Young" ""
"121" "00-0032815" "" "Chris" "Hubert" "ARI" "WR" "5/8/93" "Fayetteville State" ""
"122" "00-0032814" "" "Vernon" "Harris" "KC" "DB" "6/25/94" "Dartmouth" ""
"123" "00-0032813" "" "Elijhaa" "Penny" "ARI" "RB" "8/17/93" "Idaho" ""
"124" "00-0032811" "" "Jake" "Bernstein" "UNK" "UNK" "6/18/93" "Vanderbilt" ""
"125" "00-0032810" "" "Kalan" "Reed" "TEN" "DB" "12/29/93" "Southern Mississippi" ""
"126" "00-0032819" "" "Shakiel" "Randolph" "KC" "DB" "2/14/94" "Southern Methodist" ""
"127" "00-0031544" "" "Amari" "Cooper" "OAK" "WR" "6/17/94" "Alabama" ""
"128" "00-0031545" "" "Kevin" "White" "CHI" "WR" "6/25/92" "West Virginia" ""
"129" "00-0028095" "D.Hogue" "Doug" "Hogue" "UNK" "UNK" "2/1/89" "Syracuse" ""
"130" "00-0031542" "" "Terrance" "Plummer" "UNK" "UNK" "6/20/93" "Central Florida" ""
"131" "00-0028098" "N.Enderle" "Nathan" "Enderle" "UNK" "UNK" "1/12/88" "Idaho" ""
"132" "00-0025515" "" "" "" "UNK" "UNK" "" "" ""
"133" "00-0028099" "J.Vandervelde" "Julian" "Vandervelde" "UNK" "UNK" "10/7/87" "Iowa" ""
"134" "00-0031548" "" "Kevin" "Johnson" "HOU" "CB" "8/5/92" "Wake Forest" ""
"135" "00-0031549" "" "Nelson" "Agholor" "PHI" "WR" "5/24/93" "USC" ""
"136" "00-0031896" "" "Quayshawn" "Nealy" "UNK" "UNK" "8/5/91" "Georgia Tech" ""
"137" "00-0029321" "" "Justin" "Cheadle" "UNK" "UNK" "3/11/89" "California" ""
"138" "00-0024183" "B.Grimes" "Brent" "Grimes" "TB" "DB" "7/19/83" "Shippensburg" ""
"139" "00-0024187" "S.Williams" "Steve" "Williams" "UNK" "UNK" "9/21/81" "Northwest Missouri State" ""
"140" "00-0025589" "M.Richardson" "Mike" "Richardson" "UNK" "UNK" "2/18/84" "Notre Dame" ""
"141" "00-0025588" "R.Barksdale" "Rashad" "Barksdale" "UNK" "UNK" "5/11/84" "Albany" ""
"142" "00-0023631" "" "" "" "UNK" "UNK" "" "" ""
"143" "00-0026694" "A.Mortensen" "" "" "UNK" "UNK" "" "" ""
"144" "00-0025580" "M.Crosby" "Mason" "Crosby" "GB" "K" "9/3/84" "Colorado" ""
"145" "00-0026774" "T.Bright" "" "" "UNK" "UNK" "" "" ""
"146" "00-0027425" "S.Sicko" "" "" "UNK" "UNK" "" "" ""
"147" "00-0025583" "H.Taylor" "Herb" "Taylor" "UNK" "UNK" "9/22/84" "Texas Christian" ""
"148" "00-0027241" "C.Eason" "" "" "UNK" "UNK" "" "" ""
"149" "00-0029347" "T.Gray" "" "" "UNK" "UNK" "" "" ""
"150" "00-0025582" "D.Anderson" "Deon" "Anderson" "UNK" "UNK" "1/27/83" "Connecticut" ""
"151" "00-0025585" "D.Datish" "Doug" "Datish" "UNK" "UNK" "8/1/83" "Ohio State" ""
"152" "00-0025584" "C.Taylor" "Courtney" "Taylor" "UNK" "UNK" "4/7/84" "Auburn" ""
"153" "00-0025587" "M.Purcell" "Melila" "Purcell" "UNK" "UNK" "2/5/84" "Hawaii" ""
"154" "00-0022122" "E.Steinbach" "Eric" "Steinbach" "UNK" "UNK" "4/4/80" "Iowa" ""
"155" "00-0022123" "C.Tillman" "Charles" "Tillman" "UNK" "UNK" "2/23/81" "Louisiana-Lafayette" ""
"156" "00-0022120" "C.Pace" "Calvin" "Pace" "UNK" "UNK" "10/28/80" "Wake Forest" ""
"157" "00-0032285" "J.Chisholm" "" "" "UNK" "UNK" "" "" ""
"158" "00-0022121" "R.Grossman" "Rex" "Grossman" "UNK" "UNK" "8/23/80" "Florida" ""
"159" "00-0029845" "" "Travis" "Tannahill" "UNK" "WR" "2/8/90" "Kansas State" ""
"160" "00-0016271" "H.Thomas" "Hollis" "Thomas" "UNK" "UNK" "1/10/74" "Northern Illinois" ""
"161" "00-0022127" "J.Witten" "Jason" "Witten" "DAL" "TE" "5/6/82" "Tennessee" ""
"162" "00-0022128" "L.Briggs" "Lance" "Briggs" "UNK" "UNK" "11/12/80" "Arizona" ""
"163" "00-0026720" "R.Murray" "Rico" "Murray" "UNK" "UNK" "8/21/87" "Kent State" ""
"164" "00-0026721" "T.Nelson" "Tom" "Nelson" "UNK" "UNK" "12/4/86" "Illinois State" ""
"165" "00-0026722" "G.Orton" "Greg" "Orton" "UNK" "UNK" "12/17/86" "Purdue" ""
"166" "00-0026723" "C.Pressley" "Chris" "Pressley" "UNK" "UNK" "8/8/86" "Wisconsin" ""
"167" "00-0026725" "D.Skuta" "Dan" "Skuta" "UNK" "UNK" "4/21/86" "Grand Valley State" ""
"168" "00-0026726" "M.Garvin" "Michael Ray" "Garvin" "UNK" "UNK" "9/29/86" "Florida State" ""
"169" "00-0026727" "R.Walker" "Reggie" "Walker" "UNK" "UNK" "12/15/86" "Kansas State" ""
"170" "00-0026728" "J.Dowling" "Jameel" "Dowling" "UNK" "UNK" "12/29/84" "Hawaii" ""
"171" "00-0030942" "" "Tyler" "Scott" "UNK" "UNK" "5/6/91" "Northwestern" ""
"172" "00-0030941" "" "Antonio" "Richardson" "UNK" "UNK" "2/24/92" "Tennessee" ""
"173" "00-0030946" "K.Hyder" "Kerry" "Hyder" "DET" "DE" "5/2/91" "Texas Tech" ""
"174" "00-0033023" "" "Joe" "Hansley" "UNK" "UNK" "2/7/94" "Colorado State" ""
"175" "00-0033022" "" "Chris" "Edwards" "UNK" "UNK" "12/23/92" "Idaho" ""
"176" "00-0026584" "I.Johnson" "Ian" "Johnson" "UNK" "UNK" "9/25/85" "Boise State" ""
"177" "00-0026585" "T.Johnson" "Tremaine" "Johnson" "UNK" "UNK" "9/26/85" "LSU" ""
"178" "00-0026580" "J.Cooper" "Jon" "Cooper" "UNK" "UNK" "10/1/86" "Oklahoma" ""
"179" "00-0026581" "R.Francois" "Rob" "Francois" "UNK" "UNK" "5/14/85" "Boston College" ""
"180" "00-0026583" "D.Hall" "De'von" "Hall" "UNK" "UNK" "9/8/87" "Utah State" ""
"181" "00-0026588" "N.Moore" "Nick" "Moore" "UNK" "UNK" "6/25/86" "Toledo" ""
"182" "00-0026589" "V.Perretta" "Vinny" "Perretta" "UNK" "UNK" "10/14/85" "Boise State" ""
"183" "00-0023363" "R.Lloyd" "Rhys" "Lloyd" "UNK" "UNK" "6/5/82" "Minnesota" ""
"184" "00-0023362" "C.Kemoeatu" "Chris" "Kemoeatu" "UNK" "UNK" "1/4/83" "Utah" ""
"185" "00-0026616" "J.Williams" "Johnny" "Williams" "UNK" "UNK" "2/20/86" "Kentucky" ""
"186" "00-0023367" "N.Washington" "Nate" "Washington" "UNK" "UNK" "8/28/83" "Tiffin University" ""
"187" "00-0026788" "C.Obiozor" "Cyril" "Obiozor" "UNK" "UNK" "9/26/86" "Texas A&M" ""
"188" "00-0029853" "J.Aubrey" "Josh" "Aubrey" "UNK" "UNK" "4/9/91" "Stephen F. Austin St." ""
"189" "00-0029852" "M.Burdette" "Marvin" "Burdette" "UNK" "UNK" "9/9/90" "Alabama-Birmingham" ""
"190" "00-0029850" "C.Reeves" "Chip" "Reeves" "UNK" "UNK" "12/24/89" "Troy" ""
"191" "00-0029857" "R.Griffin" "Ryan" "Griffin" "TB" "QB" "11/17/89" "Tulane" ""
"192" "00-0029856" "L.Thomas" "Lamaar" "Thomas" "UNK" "UNK" "4/23/90" "New Mexico" ""
"193" "00-0029854" "C.Anderson" "C.J." "Anderson" "DEN" "RB" "2/10/91" "California" ""
"194" "00-0023299" "I.Ndukwe" "Ike" "Ndukwe" "UNK" "UNK" "7/17/82" "Northwestern" ""
"195" "00-0023298" "L.Ladouceur" "L.P." "LaDouceur" "DAL" "LS" "3/13/81" "California" ""
"196" "00-0027451" "J.Ruffin" "James" "Ruffin" "UNK" "UNK" "2/6/87" "Northern Iowa" ""
"197" "00-0027450" "P.Parker" "Preston" "Parker" "UNK" "UNK" "2/13/87" "North Alabama" ""
"198" "00-0027981" "K.Rudolph" "Kyle" "Rudolph" "MIN" "TE" "11/9/89" "Notre Dame" ""
"199" "00-0030138" "" "Marcus" "Rucker" "UNK" "WR" "5/19/90" "Memphis" ""
"200" "00-0027452" "J.Williams" "James" "Williams" "UNK" "UNK" "7/3/88" "Harvard" ""
"201" "00-0027455" "C.Chancellor" "Chris" "Chancellor" "UNK" "UNK" "12/22/86" "Clemson" ""
"202" "00-0031853" "D.Gardner" "" "" "UNK" "UNK" "" "" ""
"203" "00-0027986" "S.Wisniewski" "Stefen" "Wisniewski" "PHI" "C" "3/22/89" "Penn State" ""
"204" "00-0027457" "S.Miller" "Swanson" "Miller" "UNK" "UNK" "3/24/86" "Oklahoma State" ""
"205" "00-0027456" "J.Haggerty" "Johnathan" "Haggerty" "UNK" "UNK" "2/5/88" "Southwestern Oklahoma State" ""
"206" "00-0027459" "J.Reinders" "Joel" "Reinders" "UNK" "UNK" "10/2/87" "Waterloo (Canada)" ""
"207" "00-0027989" "D.Bowers" "Da'Quan" "Bowers" "UNK" "UNK" "2/23/90" "Clemson" ""
"208" "00-0025966" "C.Balogh" "Cody" "Balogh" "UNK" "UNK" "2/14/86" "Montana" ""
"209" "00-0028775" "T.Evans" "Tae" "Evans" "UNK" "UNK" "2/27/88" "West Texas A&M" ""
"210" "00-0032772" "" "Ryan" "Smith" "TB" "CB" "9/7/93" "North Carolina Central" ""
"211" "00-0032773" "" "Nick" "Kwiatkoski" "CHI" "ILB" "5/26/93" "West Virginia" ""
"212" "00-0027189" "C.Bryan" "Chris" "Bryan" "UNK" "UNK" "3/6/82" "No College" ""
"213" "00-0027188" "C.Hall" "Chad" "Hall" "UNK" "UNK" "5/23/86" "Air Force" ""
"214" "00-0032776" "" "Deiondre'" "Hall" "CHI" "CB" "5/31/94" "Northern Iowa" ""
"215" "00-0027190" "T.Carter" "Todd" "Carter" "UNK" "UNK" "6/7/86" "Grand Valley State" ""
"216" "00-0027679" "D.Smith" "D'Anthony" "Smith" "UNK" "UNK" "6/9/88" "Louisiana Tech" ""
"217" "00-0027678" "J.Jerry" "John" "Jerry" "NYG" "G" "6/14/86" "Mississippi" ""
"218" "00-0027191" "C.Stitser" "Clint" "Stitser" "UNK" "UNK" "5/19/85" "Fresno State" ""
"219" "00-0026502" "R.Jean Francois" "Ricky" "Jean Francois" "WAS" "DE" "11/23/86" "LSU" ""
"220" "00-0030879" "" "Ethan" "Hemer" "UNK" "UNK" "3/3/91" "Wisconsin" ""
"221" "00-0023600" "M.Hawkins" "Mike" "Hawkins" "UNK" "UNK" "7/15/83" "Oklahoma" ""
"222" "00-0023602" "G.Hangartner" "Geoff" "Hangartner" "UNK" "UNK" "4/22/82" "Texas A&M" ""
"223" "00-0023606" "T.Hagler" "Tyjuan" "Hagler" "UNK" "UNK" "12/3/81" "Cincinnati" ""
"224" "00-0026078" "K.Kapanui" "Kolo" "Kapanui" "UNK" "UNK" "11/13/83" "West Texas A&M" ""
"225" "00-0024218" "V.Young" "Vince" "Young" "UNK" "UNK" "5/18/83" "Texas" ""
"226" "00-0024219" "D.Ferguson" "D'Brickashaw" "Ferguson" "UNK" "UNK" "12/10/83" "Virginia" ""
"227" "00-0024217" "R.Bush" "Reggie" "Bush" "BUF" "RB" "3/2/85" "USC" ""
"228" "00-0020550" "D.Dinkins" "Darnell" "Dinkins" "UNK" "UNK" "1/20/77" "Pittsburgh" ""
"229" "00-0024110" "S.Weatherford" "Steve" "Weatherford" "UNK" "UNK" "12/17/82" "Illinois" ""
"230" "00-0021931" "K.Walter" "Kevin" "Walter" "UNK" "UNK" "8/4/81" "Eastern Michigan" ""
"231" "00-0030125" "C.Bykowski" "Carter" "Bykowski" "MIN" "T" "7/25/90" "Iowa State" ""
"232" "00-0030124" "B.Hepburn" "Brandon" "Hepburn" "DAL" "LB" "12/6/89" "Florida A&M" ""
"233" "00-0029477" "" "Tyler" "Holmes" "UNK" "UNK" "7/24/88" "Tulsa" ""
"234" "00-0024373" "M.Anderson" "Mark" "Anderson" "UNK" "UNK" "5/26/83" "Alabama" ""
"235" "00-0030126" "" "T.J." "Johnson" "CIN" "C" "7/17/90" "South Carolina" ""
"236" "00-0030120" "B.Daniels" "B.J." "Daniels" "CHI" "WR" "10/24/89" "South Florida" ""
"237" "00-0030129" "J.Cunningham" "Justice" "Cunningham" "UNK" "UNK" "1/14/91" "South Carolina" ""
"238" "00-0030128" "M.Cox" "Michael" "Cox" "UNK" "UNK" "11/14/88" "Massachusetts" ""
"239" "00-0022915" "I.Olshansky" "Igor" "Olshansky" "UNK" "UNK" "5/3/82" "Oregon" ""
"240" "00-0022914" "C.Gamble" "Chris" "Gamble" "UNK" "UNK" "3/11/83" "Ohio State" ""
"241" "00-0022918" "A.Odom" "Antwan" "Odom" "UNK" "UNK" "9/24/81" "Alabama" ""
"242" "00-0028409" "D.Harris" "DuJuan" "Harris" "SF" "RB" "9/3/88" "Troy" ""
"243" "00-0028403" "J.Dickson" "JoJo" "Dickson" "UNK" "UNK" "7/13/89" "Idaho" ""
"244" "00-0028401" "C.Bradfield" "Cameron" "Bradfield" "UNK" "UNK" "9/14/87" "Grand Valley State" ""
"245" "00-0028400" "A.Binns" "Armon" "Binns" "UNK" "UNK" "9/8/89" "Cincinnati" ""
"246" "00-0028407" "E.Gordon" "Eric" "Gordon" "UNK" "UNK" "8/22/87" "Michigan State" ""
"247" "00-0028406" "T.Gallarda" "Tommy" "Gallarda" "UNK" "UNK" "5/8/88" "Boise State" ""
"248" "00-0028405" "M.Estrada" "Matt" "Estrada" "UNK" "UNK" "10/20/88" "Northern Arizona" ""
"249" "00-0028404" "G.Ellingson" "Greg" "Ellingson" "UNK" "UNK" "12/30/88" "Florida International" ""
"250" "00-0019281" "M.Furrey" "Mike" "Furrey" "UNK" "UNK" "3/12/77" "Northern Iowa" ""
"251" "00-0020450" "C.Rabach" "Casey" "Rabach" "UNK" "UNK" "9/24/77" "Wisconsin" ""
"252" "00-0020457" "S.Neal" "Stephen" "Neal" "UNK" "UNK" "10/9/76" "Cal State-Bakersfield" ""
"253" "00-0028669" "C.Randle" "Chris" "Randle" "UNK" "UNK" "6/18/88" "Utah State" ""
"254" "00-0028668" "R.Radway" "Raymond" "Radway" "UNK" "UNK" "7/5/87" "Abilene Christian" ""
"255" "00-0028667" "L.Leong" "Lyle" "Leong" "UNK" "UNK" "8/23/87" "Texas Tech" ""
"256" "00-0028666" "O.Lemon" "Orie" "Lemon" "UNK" "UNK" "9/9/87" "Oklahoma State" ""
